"name","label","capture"
"6","6",2001-03-13
"A1","A1",1996-02-16
"7","7",2002-12-18
"7","7",2004-02-04
"10","10",2004-11-25
"24","24",2002-12-18
"29","29",2004-02-04
"37","37",2002-03-05
"43","43",2002-03-12
"56","56",2002-12-18
"62","62",2002-12-18
"68","68",2002-12-18
"70","70",2002-12-18
"104","104",2003-11-27
"114","114",2003-12-11
"134","134",2004-02-04
"3297","3297",2024-01-11
"202","202",2008-02-07
"210","210",2005-02-09
"250","250",2006-01-12
"254","254",2006-01-12
"276","276",2006-01-19
"286","286",2007-02-08
"286","286",2009-02-05
"292","292",2006-02-02
"3238","3238",2023-01-05
"3243","3243",2023-01-05
"3121","3121",2023-01-05
"3236","3236",2023-01-05
"3241","3241",2023-01-05
"3242","3242",2023-01-05
"304","304",2006-02-02
"322","322",2011-01-13
"334","334",2007-01-18
"372","372",2007-12-06
"3298","3298",2024-01-11
"412","412",2011-02-03
"416","416",2008-01-31
"3218","3218",2024-01-30
"260","260",2011-01-13
"990","990",2024-01-30
"498","498",2010-01-28
"508","508",2009-02-05
"532","532",2010-01-07
"3303","3303",2024-01-18
"616","616",2011-01-13
"634","634",2011-01-13
"652","652",2011-01-20
"472","472",2011-01-27
"700","700",2012-01-12
"704","704",2012-01-12
"740","740",2012-01-26
"814","814",2013-02-07
"832","832",2013-02-14
"722","722",2014-01-21
"738","738",2014-01-30
"866","866",2014-01-30
"877","877",2015-01-08
"788","788",2015-01-20
"3014","3014",2020-01-09
"3075","3075",2020-01-09
"3116","3116",2020-01-21
"3117","3117",2020-01-21
"3083","3083",2020-01-09
"3060","3060",2020-01-09
"3084","3084",2020-01-09
"3081","3081",2020-01-09
"3038","3038",2020-01-30
"3118","3118",2020-01-21
"3120","3120",2020-01-30
"3093","3093",2020-01-09
"A3","A3",1996-02-16
"A3","A3",1997-02-04
"A13","A13",1997-02-04
"3","3",2001-03-08
"3","3",2005-01-27
"3","3",2006-01-05
"4","4",2001-03-13
"5","5",2001-03-13
"7","7",2008-12-04
"202","202",2007-02-08
"212","212",2005-02-09
"480","480",2009-01-29
"484","484",2010-01-21
"888","888",2015-01-20
"915","915",2015-03-05
"921","921",2016-01-07
"806","806",2016-01-14
"572","572",2016-01-28
"936","936",2016-01-28
"947","947",2016-02-04
"967","967",2017-01-05
"976","976",2017-01-19
"987","987",2017-01-24
"1000","1000",2017-02-23
"3003","3003",2018-01-11
"3010","3010",2018-01-18
"3016","3016",2018-01-23
"3024","3024",2018-02-08
"3035","3035",2018-02-15
"3040","3040",2019-01-10
"3054","3054",2019-01-22
"3104","3104",2020-01-21
"3094","3094",2020-01-09
"3135","3135",2020-02-27
"3098","3098",2020-01-16
"3074","3074",2020-01-09
"3123","3123",2020-02-06
"3121","3121",2020-01-30
"3136","3136",2020-02-27
"3124","3124",2020-02-06
"3099","3099",2020-01-16
"3122","3122",2020-01-30
"3085","3085",2020-01-09
"3013","3013",2020-01-09
"3105","3105",2020-01-21
"3096","3096",2020-01-09
"20","20",2002-02-06
"3086","3086",2020-01-09
"3031","3031",2020-02-06
"3052","3052",2020-01-21
"971","971",2020-02-27
"3066","3066",2020-01-16
"3097","3097",2020-01-09
"3087","3087",2020-01-09
"990","990",2020-01-21
"3126","3126",2020-02-06
"3137","3137",2020-02-27
"3100","3100",2020-01-16
"3127","3127",2020-02-06
"3138","3138",2020-02-27
"3088","3088",2020-01-09
"3108","3108",2020-01-21
"3109","3109",2020-01-21
"3004","3004",2020-02-27
"3101","3101",2020-01-16
"3128","3128",2020-02-06
"3090","3090",2020-01-09
"3102","3102",2020-01-16
"3110","3110",2020-01-21
"956","956",2020-02-06
"3130","3130",2020-02-06
"3103","3103",2020-01-16
"3131","3131",2020-02-06
"3073","3073",2020-01-09
"894","894",2020-01-21
"3054","3054",2020-01-21
"3132","3132",2020-02-06
"3113","3113",2020-01-21
"3133","3133",2020-02-06
"3092","3092",2020-01-09
"3053","3053",2020-01-21
"3134","3134",2020-02-06
"3114","3114",2020-01-21
"3115","3115",2020-01-21
"3253","3253",2024-02-29
"3005","3005",2024-01-25
"7","7",2001-03-13
"8","8",2001-03-13
"9","9",2001-03-13
"9","9",2004-02-04
"10","10",2001-03-13
"10","10",2002-02-06
"11","11",2001-03-13
"12","12",2001-03-13
"13","13",2001-03-13
"14","14",2001-03-13
"14","14",2002-02-06
"15","15",2001-03-13
"16","16",2001-03-13
"17","17",2001-03-13
"18","18",2001-03-27
"19","19",2002-02-06
"19","19",2004-11-25
"21","21",2002-12-18
"21","21",2004-02-04
"22","22",2006-02-02
"A4","A4",1996-02-16
"A5","A5",1996-02-16
"A6","A6",1996-02-16
"A7","A7",1996-02-16
"3301","3301",2024-01-18
"A9","A9",1997-02-04
"A10","A10",1997-02-04
"A12","A12",1997-02-04
"A14","A14",1997-02-04
"3295","3295",2024-01-11
"A16","A16",1997-02-04
"A17","A17",1997-02-04
"A18","A18",1997-02-04
"A19","A19",1997-02-04
"A20","A20",1997-02-04
"1","1",2001-03-01
"2","2",2001-03-08
"22","22",2002-02-06
"23","23",2002-02-06
"24","24",2002-02-06
"25","25",2002-02-06
"3307","3307",2024-01-25
"26","26",2002-12-18
"27","27",2002-02-06
"28","28",2002-02-06
"29","29",2002-02-06
