"name","label","annee"
1996-02-16,1996-02-16,1996
1997-02-04,1997-02-04,1997
2001-03-01,2001-03-01,2001
2001-03-08,2001-03-08,2001
2001-03-13,2001-03-13,2001
2001-03-27,2001-03-27,2001
2002-02-06,2002-02-06,2002
2002-02-26,2002-02-26,2002
2002-02-27,2002-02-27,2002
2002-03-05,2002-03-05,2002
2002-03-08,2002-03-08,2002
2002-03-12,2002-03-12,2002
2002-12-18,2002-12-18,2003
2003-01-30,2003-01-30,2003
2003-02-05,2003-02-05,2003
2003-02-12,2003-02-12,2003
2003-02-18,2003-02-18,2003
2003-03-11,2003-03-11,2003
2003-03-14,2003-03-14,2003
2003-11-27,2003-11-27,2004
2003-12-02,2003-12-02,2004
2003-12-11,2003-12-11,2004
2004-02-04,2004-02-04,2004
2004-11-24,2004-11-24,2005
2004-11-25,2004-11-25,2005
2005-01-06,2005-01-06,2005
2005-01-13,2005-01-13,2005
2005-01-20,2005-01-20,2005
2005-01-27,2005-01-27,2005
2005-02-03,2005-02-03,2005
2005-02-09,2005-02-09,2005
2005-11-24,2005-11-24,2006
2005-12-15,2005-12-15,2006
2006-01-05,2006-01-05,2006
2006-01-11,2006-01-11,2006
2006-01-12,2006-01-12,2006
2006-01-19,2006-01-19,2006
2006-01-26,2006-01-26,2006
2006-02-02,2006-02-02,2006
2006-11-16,2006-11-16,2007
2007-01-11,2007-01-11,2007
2007-01-18,2007-01-18,2007
2007-02-01,2007-02-01,2007
2007-02-08,2007-02-08,2007
2007-12-06,2007-12-06,2008
2008-01-10,2008-01-10,2008
2008-01-17,2008-01-17,2008
2008-01-24,2008-01-24,2008
2008-01-31,2008-01-31,2008
2008-02-07,2008-02-07,2008
2008-12-04,2008-12-04,2009
2009-01-15,2009-01-15,2009
2009-01-22,2009-01-22,2009
2009-01-29,2009-01-29,2009
2009-02-05,2009-02-05,2009
2009-02-26,2009-02-26,2009
2010-01-07,2010-01-07,2010
2010-01-13,2010-01-13,2010
2010-01-14,2010-01-14,2010
2010-01-21,2010-01-21,2010
2010-01-28,2010-01-28,2010
2010-02-04,2010-02-04,2010
2010-02-11,2010-02-11,2010
2011-01-06,2011-01-06,2011
2011-01-13,2011-01-13,2011
2011-01-20,2011-01-20,2011
2011-01-27,2011-01-27,2011
2011-02-03,2011-02-03,2011
2011-02-10,2011-02-10,2011
2011-03-01,2011-03-01,2011
2012-01-05,2012-01-05,2012
2012-01-12,2012-01-12,2012
2012-01-17,2012-01-17,2012
2012-01-26,2012-01-26,2012
2012-02-02,2012-02-02,2012
2012-03-01,2012-03-01,2012
2012-03-27,2012-03-27,2012
2013-01-10,2013-01-10,2013
2013-01-17,2013-01-17,2013
2013-01-22,2013-01-22,2013
2013-01-31,2013-01-31,2013
2013-02-07,2013-02-07,2013
2013-02-14,2013-02-14,2013
2014-01-09,2014-01-09,2014
2014-01-16,2014-01-16,2014
2014-01-21,2014-01-21,2014
2014-01-29,2014-01-29,2014
2014-01-30,2014-01-30,2014
2014-02-06,2014-02-06,2014
2014-02-13,2014-02-13,2014
2015-01-08,2015-01-08,2015
2015-01-15,2015-01-15,2015
2015-01-20,2015-01-20,2015
2015-01-29,2015-01-29,2015
2015-02-05,2015-02-05,2015
2015-02-26,2015-02-26,2015
2015-03-05,2015-03-05,2015
2016-01-07,2016-01-07,2016
2016-01-14,2016-01-14,2016
2016-01-19,2016-01-19,2016
2016-01-28,2016-01-28,2016
2016-02-04,2016-02-04,2016
2016-02-11,2016-02-11,2016
2017-01-05,2017-01-05,2017
2017-01-12,2017-01-12,2017
2017-01-19,2017-01-19,2017
2017-01-24,2017-01-24,2017
2017-02-02,2017-02-02,2017
2017-02-23,2017-02-23,2017
2018-01-11,2018-01-11,2018
2018-01-18,2018-01-18,2018
2018-01-23,2018-01-23,2018
2018-02-01,2018-02-01,2018
2018-02-08,2018-02-08,2018
2018-02-15,2018-02-15,2018
2018-03-13,2018-03-13,2018
2019-01-10,2019-01-10,2019
2019-01-17,2019-01-17,2019
2019-01-22,2019-01-22,2019
2019-01-31,2019-01-31,2019
2019-02-07,2019-02-07,2019
2019-02-14,2019-02-14,2019
2020-01-09,2020-01-09,2020
2020-01-16,2020-01-16,2020
2020-01-21,2020-01-21,2020
2020-01-30,2020-01-30,2020
2020-02-06,2020-02-06,2020
2020-02-27,2020-02-27,2020
2021-01-07,2021-01-07,2021
2021-01-14,2021-01-14,2021
2021-01-19,2021-01-19,2021
2021-01-28,2021-01-28,2021
2021-02-04,2021-02-04,2021
2021-02-11,2021-02-11,2021
2022-01-06,2022-01-06,2022
2022-01-13,2022-01-13,2022
2022-01-20,2022-01-20,2022
2022-02-03,2022-02-03,2022
2022-02-10,2022-02-10,2022
2022-02-15,2022-02-15,2022
2023-01-05,2023-01-05,2023
2023-01-12,2023-01-12,2023
2023-01-19,2023-01-19,2023
2023-02-02,2023-02-02,2023
2023-02-07,2023-02-07,2023
2023-02-16,2023-02-16,2023
2024-01-11,2024-01-11,2024
2024-01-18,2024-01-18,2024
2024-01-25,2024-01-25,2024
2024-01-30,2024-01-30,2024
2024-02-29,2024-02-29,2024
2024-03-07,2024-03-07,2024
2025-01-09,2025-01-09,2025
2025-01-16,2025-01-16,2025
2025-01-21,2025-01-21,2025
2025-01-30,2025-01-30,2025
2025-02-06,2025-02-06,2025
2025-02-13,2025-02-13,2025
